Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites
m601,Capomulin,Male,22,17,40,31.378045299999997,1
m601,Capomulin,Male,22,17,45,28.43096411,1
g791,Ramicane,Male,11,16,0,45.0,0
g791,Ramicane,Male,11,16,5,45.85153062,0
g791,Ramicane,Male,11,16,10,40.17055848,0
g791,Ramicane,Male,11,16,15,40.67812852,0
g791,Ramicane,Male,11,16,20,41.211897,0
g791,Ramicane,Male,11,16,25,35.56939935,1
g791,Ramicane,Male,11,16,30,34.95258284,1
g791,Ramicane,Male,11,16,35,30.96039194,1
g791,Ramicane,Male,11,16,40,31.36940573,1
g791,Ramicane,Male,11,16,45,29.12847181,1
s508,Ramicane,Male,1,17,0,45.0,0
s508,Ramicane,Male,1,17,5,38.71187185,0
s508,Ramicane,Male,1,17,10,34.850997899999996,0
s508,Ramicane,Male,1,17,15,35.27690634,0
s508,Ramicane,Male,1,17,20,35.92865083,0
s508,Ramicane,Male,1,17,25,36.33856894,0
s508,Ramicane,Male,1,17,30,35.47402235,0
s508,Ramicane,Male,1,17,35,35.8461407,0
s508,Ramicane,Male,1,17,40,32.79817119,0
s508,Ramicane,Male,1,17,45,30.27623175,0
f966,Capomulin,Male,16,17,0,45.0,0
f966,Capomulin,Male,16,17,5,38.79647373,0
f966,Capomulin,Male,16,17,10,35.6244027,0
f966,Capomulin,Male,16,17,15,32.62300253,0
f966,Capomulin,Male,16,17,20,30.48598484,0
m546,Ramicane,Male,18,16,0,45.0,0
m546,Ramicane,Male,18,16,5,42.99887638,0
m546,Ramicane,Male,18,16,10,43.74822357,0
m546,Ramicane,Male,18,16,15,39.89743533,0
m546,Ramicane,Male,18,16,20,36.71229535,0
m546,Ramicane,Male,18,16,25,37.44444543,0
m546,Ramicane,Male,18,16,30,37.96993365,0
m546,Ramicane,Male,18,16,35,38.62753581,1
m546,Ramicane,Male,18,16,40,35.114575200000004,1
m546,Ramicane,Male,18,16,45,30.56462509,1
z578,Ramicane,Male,11,16,0,45.0,0
z578,Ramicane,Male,11,16,5,42.18878662,0
z578,Ramicane,Male,11,16,10,42.95211843,0
z578,Ramicane,Male,11,16,15,38.68851607,0
z578,Ramicane,Male,11,16,20,36.89001635,0
z578,Ramicane,Male,11,16,25,37.41411419,0
z578,Ramicane,Male,11,16,30,37.81593487,0
z578,Ramicane,Male,11,16,35,38.50482444,0
z578,Ramicane,Male,11,16,40,34.02209336,0
z578,Ramicane,Male,11,16,45,30.63869575,0
j913,Ramicane,Female,4,17,0,45.0,0
j913,Ramicane,Female,4,17,5,44.01490022,0
j913,Ramicane,Female,4,17,10,44.49716216,0
j913,Ramicane,Female,4,17,15,45.25253427,0
j913,Ramicane,Female,4,17,20,42.16834132,0
j913,Ramicane,Female,4,17,25,37.86066936,0
j913,Ramicane,Female,4,17,30,34.75724046,0
j913,Ramicane,Female,4,17,35,35.17014843,0
j913,Ramicane,Female,4,17,40,31.00186078,1
j913,Ramicane,Female,4,17,45,31.56046955,1
u364,Capomulin,Male,18,17,0,45.0,0
u364,Capomulin,Male,18,17,5,45.76088647,1
u364,Capomulin,Male,18,17,10,46.56841719,2
u364,Capomulin,Male,18,17,15,47.21219992,2
u364,Capomulin,Male,18,17,20,40.34394812,2
u364,Capomulin,Male,18,17,25,35.50361557,2
u364,Capomulin,Male,18,17,30,35.9783344,2
u364,Capomulin,Male,18,17,35,35.45948978,2
u364,Capomulin,Male,18,17,40,36.02413752,2
u364,Capomulin,Male,18,17,45,31.02392294,3
n364,Ramicane,Male,4,17,0,45.0,0
n364,Ramicane,Male,4,17,5,45.52187471,0
n364,Ramicane,Male,4,17,10,40.3751382,0
n364,Ramicane,Male,4,17,15,36.94027399,0
n364,Ramicane,Male,4,17,20,37.4788685,0
n364,Ramicane,Male,4,17,25,33.20500824,0
n364,Ramicane,Male,4,17,30,33.817758000000005,0
n364,Ramicane,Male,4,17,35,34.48752204,1
n364,Ramicane,Male,4,17,40,34.95473311,1
n364,Ramicane,Male,4,17,45,31.09533505,1
y793,Capomulin,Male,17,17,0,45.0,0
y793,Capomulin,Male,17,17,5,41.01991315,0
y793,Capomulin,Male,17,17,10,41.63001026,1
y793,Capomulin,Male,17,17,15,42.28366512,1
y793,Capomulin,Male,17,17,20,40.71642815,2
y793,Capomulin,Male,17,17,25,38.9927339,2
y793,Capomulin,Male,17,17,30,35.72602314,2
y793,Capomulin,Male,17,17,35,36.3278696,2
y793,Capomulin,Male,17,17,40,31.47541076,2
y793,Capomulin,Male,17,17,45,31.896238399999998,2
r554,Capomulin,Female,8,17,0,45.0,0
r554,Capomulin,Female,8,17,5,45.78174579,1
r554,Capomulin,Female,8,17,10,39.0054935,2
r554,Capomulin,Female,8,17,15,35.46375763,2
r554,Capomulin,Female,8,17,20,36.01558858,2
r554,Capomulin,Female,8,17,25,33.89334515,3
r554,Capomulin,Female,8,17,30,32.68065459,3
r554,Capomulin,Female,8,17,35,33.06933705,3
r554,Capomulin,Female,8,17,40,31.80484133,3
r554,Capomulin,Female,8,17,45,32.37735684,3
m957,Capomulin,Female,3,19,0,45.0,0
m957,Capomulin,Female,3,19,5,45.62238149,1
m957,Capomulin,Female,3,19,10,46.414517700000005,1
m957,Capomulin,Female,3,19,15,39.80445341,1
m957,Capomulin,Female,3,19,20,38.90934919,1
m957,Capomulin,Female,3,19,25,37.69543154,1
m957,Capomulin,Female,3,19,30,38.21247939,1
m957,Capomulin,Female,3,19,35,32.56283914,1
m957,Capomulin,Female,3,19,40,32.94761484,1
m957,Capomulin,Female,3,19,45,33.32909778,1
c758,Ramicane,Male,9,17,0,45.0,0
c758,Ramicane,Male,9,17,5,45.5786783,0
c758,Ramicane,Male,9,17,10,46.28799223,0
c758,Ramicane,Male,9,17,15,46.94094512,1
c758,Ramicane,Male,9,17,20,43.1263114,1
c758,Ramicane,Male,9,17,25,43.602267299999994,1
c758,Ramicane,Male,9,17,30,44.11827028,1
c758,Ramicane,Male,9,17,35,37.80238546,1
c758,Ramicane,Male,9,17,40,32.83318858,1
c758,Ramicane,Male,9,17,45,33.39765251,1
t565,Capomulin,Female,20,17,0,45.0,0
t565,Capomulin,Female,20,17,5,45.8956472,0
t565,Capomulin,Female,20,17,10,46.74900552,0
t565,Capomulin,Female,20,17,15,44.44094861,0
t565,Capomulin,Female,20,17,20,39.0702138,0
t565,Capomulin,Female,20,17,25,37.34220976,0
t565,Capomulin,Female,20,17,30,32.86891617,0
t565,Capomulin,Female,20,17,35,33.51567063,0
t565,Capomulin,Female,20,17,40,33.94934131,0
t565,Capomulin,Female,20,17,45,34.45529799,0
a644,Ramicane,Female,7,17,0,45.0,0
a644,Ramicane,Female,7,17,5,45.55015754,0
a644,Ramicane,Female,7,17,10,46.38071258,0
a644,Ramicane,Female,7,17,15,46.91089166,0
a644,Ramicane,Female,7,17,20,45.86506461,0
a644,Ramicane,Female,7,17,25,41.48122408,0
a644,Ramicane,Female,7,17,30,37.21112063,0
a644,Ramicane,Female,7,17,35,35.12863083,0
a644,Ramicane,Female,7,17,40,35.77945086,0
a644,Ramicane,Female,7,17,45,32.97852192,1
i177,Ramicane,Male,10,18,0,45.0,0
i177,Ramicane,Male,10,18,5,44.06539783,0
i177,Ramicane,Male,10,18,10,41.02092924,0
i177,Ramicane,Male,10,18,15,40.33093479,0
i177,Ramicane,Male,10,18,20,35.34536136,0
i177,Ramicane,Male,10,18,25,34.0821803,1
i177,Ramicane,Male,10,18,30,34.71147302,1
i177,Ramicane,Male,10,18,35,35.1521662,1
i177,Ramicane,Male,10,18,40,35.55793279,2
i177,Ramicane,Male,10,18,45,33.56240217,3
j989,Ramicane,Male,8,19,0,45.0,0
j989,Ramicane,Male,8,19,5,45.62071835,1
j989,Ramicane,Male,8,19,10,46.34383237,1
j989,Ramicane,Male,8,19,15,41.12835439,1
j989,Ramicane,Male,8,19,20,41.63534426,1
j989,Ramicane,Male,8,19,25,39.93411249,1
j989,Ramicane,Male,8,19,30,34.67178107,1
j989,Ramicane,Male,8,19,35,35.1155898,1
j989,Ramicane,Male,8,19,40,35.50119014,1
j989,Ramicane,Male,8,19,45,36.13485243,1
i738,Capomulin,Female,23,20,0,45.0,0
i738,Capomulin,Female,23,20,5,45.59568527,0
i738,Capomulin,Female,23,20,10,43.42101414,0
i738,Capomulin,Female,23,20,15,37.97877782,0
i738,Capomulin,Female,23,20,20,38.53113634,0
i738,Capomulin,Female,23,20,25,34.97343761,0
i738,Capomulin,Female,23,20,30,35.57877987,1
i738,Capomulin,Female,23,20,35,36.17595269,1
i738,Capomulin,Female,23,20,40,36.84389799,2
i738,Capomulin,Female,23,20,45,37.31184577,2
a520,Ramicane,Male,13,21,0,45.0,0
a520,Ramicane,Male,13,21,5,38.72370695,0
a520,Ramicane,Male,13,21,10,36.42938781,0
a520,Ramicane,Male,13,21,15,35.590253999999995,0
a520,Ramicane,Male,13,21,20,35.94774514,0
a520,Ramicane,Male,13,21,25,36.55858129,1
a520,Ramicane,Male,13,21,30,36.94770981,1
a520,Ramicane,Male,13,21,35,37.62471026,1
a520,Ramicane,Male,13,21,40,38.25972497,1
a520,Ramicane,Male,13,21,45,38.81036633,1
w914,Capomulin,Male,24,21,0,45.0,0
w914,Capomulin,Male,24,21,5,45.89372032,0
w914,Capomulin,Male,24,21,10,43.23196275,0
w914,Capomulin,Male,24,21,15,43.68844893,0
w914,Capomulin,Male,24,21,20,41.10809233,0
w914,Capomulin,Male,24,21,25,40.29191661,0
w914,Capomulin,Male,24,21,30,40.99311013,0
w914,Capomulin,Male,24,21,35,41.66491577,1
w914,Capomulin,Male,24,21,40,35.61130861,2
w914,Capomulin,Male,24,21,45,36.04104736,2
r811,Ramicane,Male,9,19,0,45.0,0
r811,Ramicane,Male,9,19,5,45.62580225,0
r811,Ramicane,Male,9,19,10,39.453903000000004,0
r811,Ramicane,Male,9,19,15,40.02229235,0
r811,Ramicane,Male,9,19,20,40.7728027,0
r811,Ramicane,Male,9,19,25,37.61401068,0
r811,Ramicane,Male,9,19,30,38.24206639,0
r811,Ramicane,Male,9,19,35,36.00302016,1
r811,Ramicane,Male,9,19,40,36.5200329,1
r811,Ramicane,Male,9,19,45,37.22565033,1
g288,Capomulin,Male,3,19,0,45.0,0
g288,Capomulin,Male,3,19,5,45.83939976,0
g288,Capomulin,Male,3,19,10,46.30400254,1
g288,Capomulin,Male,3,19,15,42.17230079,1
g288,Capomulin,Male,3,19,20,42.95712001,1
g288,Capomulin,Male,3,19,25,42.36869239,1
g288,Capomulin,Male,3,19,30,42.87446056,1
g288,Capomulin,Male,3,19,35,38.95411458,1
g288,Capomulin,Male,3,19,40,36.35685121,1
g288,Capomulin,Male,3,19,45,37.07402422,1
i334,Ramicane,Female,8,20,0,45.0,0
i334,Ramicane,Female,8,20,5,41.02051821,0
i334,Ramicane,Female,8,20,10,41.63124731,0
i334,Ramicane,Female,8,20,15,39.15800115,0
i334,Ramicane,Female,8,20,20,39.687831700000004,0
i334,Ramicane,Female,8,20,25,38.24881732,1
i334,Ramicane,Female,8,20,30,39.00555435,1
i334,Ramicane,Female,8,20,35,39.7695521,2
i334,Ramicane,Female,8,20,40,40.44237037,2
i334,Ramicane,Female,8,20,45,36.37451039,2
q610,Ramicane,Female,18,21,0,45.0,0
q610,Ramicane,Female,18,21,5,45.62949421,0
q610,Ramicane,Female,18,21,10,44.99148471,0
q610,Ramicane,Female,18,21,15,45.88902756,0
q610,Ramicane,Female,18,21,20,46.58543347,0
q610,Ramicane,Female,18,21,25,40.14645019,0
q610,Ramicane,Female,18,21,30,40.66834256,1
q610,Ramicane,Female,18,21,35,36.56165229,2
d251,Ramicane,Female,8,19,0,45.0,0
d251,Ramicane,Female,8,19,5,41.74635495,1
d251,Ramicane,Female,8,19,10,42.43225791,1
d251,Ramicane,Female,8,19,15,39.47278744,1
d251,Ramicane,Female,8,19,20,37.65209085,1
d251,Ramicane,Female,8,19,25,38.09751328,1
d251,Ramicane,Female,8,19,30,38.71825638,2
d251,Ramicane,Female,8,19,35,37.70852942,2
d251,Ramicane,Female,8,19,40,38.26540379,2
d251,Ramicane,Female,8,19,45,37.31123552,2
l897,Capomulin,Male,17,19,0,45.0,0
l897,Capomulin,Male,17,19,5,45.46224327,0
l897,Capomulin,Male,17,19,10,46.15473721,0
l897,Capomulin,Male,17,19,15,44.0615214,0
l897,Capomulin,Male,17,19,20,44.81309343,0
l897,Capomulin,Male,17,19,25,45.35467916,0
l897,Capomulin,Male,17,19,30,39.35279201,1
l897,Capomulin,Male,17,19,35,37.68276664,1
l897,Capomulin,Male,17,19,40,38.34390154,1
l897,Capomulin,Male,17,19,45,38.84687569,1
c458,Ramicane,Female,23,20,0,45.0,0
c458,Ramicane,Female,23,20,5,45.72227949,0
c458,Ramicane,Female,23,20,10,44.45437828,1
c458,Ramicane,Female,23,20,15,45.10742313,2
c458,Ramicane,Female,23,20,20,39.50513508,2
c458,Ramicane,Female,23,20,25,37.75314964,2
c458,Ramicane,Female,23,20,30,38.34200823,2
b742,Capomulin,Male,7,21,0,45.0,0
b742,Capomulin,Male,7,21,5,41.53409702,0
b742,Capomulin,Male,7,21,10,41.99922813,0
b742,Capomulin,Male,7,21,15,39.52484301,0
b742,Capomulin,Male,7,21,20,37.95035546,0
b742,Capomulin,Male,7,21,25,38.61768433,0
b742,Capomulin,Male,7,21,30,39.1679495,0
b742,Capomulin,Male,7,21,35,39.84757556,0
b742,Capomulin,Male,7,21,40,38.255627399999995,0
b742,Capomulin,Male,7,21,45,38.93963263,0
b128,Capomulin,Female,9,22,0,45.0,0
b128,Capomulin,Female,9,22,5,45.65133131,0
b128,Capomulin,Female,9,22,10,43.2708519,0
b128,Capomulin,Female,9,22,15,43.78489343,0
b128,Capomulin,Female,9,22,20,42.731552,0
b128,Capomulin,Female,9,22,25,43.26214483,1
b128,Capomulin,Female,9,22,30,40.60533486,1
b128,Capomulin,Female,9,22,35,37.96764437,1
b128,Capomulin,Female,9,22,40,38.3797259,2
b128,Capomulin,Female,9,22,45,38.98287774,2
j246,Capomulin,Female,21,21,0,45.0,0
j246,Capomulin,Female,21,21,5,45.64143788,0
j246,Capomulin,Female,21,21,10,46.408361299999996,0
j246,Capomulin,Female,21,21,15,43.31265415,0
j246,Capomulin,Female,21,21,20,44.02037009,0
j246,Capomulin,Female,21,21,25,44.55522595,0
j246,Capomulin,Female,21,21,30,38.04408202,1
j246,Capomulin,Female,21,21,35,38.75326548,1
a411,Ramicane,Male,3,22,0,45.0,0
a411,Ramicane,Male,3,22,5,45.46667714,0
a411,Ramicane,Male,3,22,10,40.75978762,1
a411,Ramicane,Male,3,22,15,41.48416885,1
a411,Ramicane,Male,3,22,20,38.08737318,1
a411,Ramicane,Male,3,22,25,38.701438399999994,1
a411,Ramicane,Male,3,22,30,39.13073724,1
a411,Ramicane,Male,3,22,35,39.71723589,1
a411,Ramicane,Male,3,22,40,40.25881765,1
a411,Ramicane,Male,3,22,45,38.407618299999996,1
j119,Capomulin,Female,7,23,0,45.0,0
j119,Capomulin,Female,7,23,5,45.83899787,0
j119,Capomulin,Female,7,23,10,46.42536551,0
j119,Capomulin,Female,7,23,15,47.32298428,0
j119,Capomulin,Female,7,23,20,48.15820939,1
j119,Capomulin,Female,7,23,25,42.41716589,1
j119,Capomulin,Female,7,23,30,43.01368114,1
j119,Capomulin,Female,7,23,35,43.76570537,1
j119,Capomulin,Female,7,23,40,44.5850896,1
j119,Capomulin,Female,7,23,45,38.125164399999996,1
w150,Capomulin,Male,23,23,0,45.0,0
w150,Capomulin,Male,23,23,5,39.20212894,0
w150,Capomulin,Male,23,23,10,39.95234669,0
v923,Capomulin,Female,19,21,0,45.0,0
v923,Capomulin,Female,19,21,5,45.70443431,0
v923,Capomulin,Female,19,21,10,39.84822328,0
v923,Capomulin,Female,19,21,15,40.45798877,0
v923,Capomulin,Female,19,21,20,39.64829568,0
v923,Capomulin,Female,19,21,25,40.15641269,1
v923,Capomulin,Female,19,21,30,40.75221626,2
v923,Capomulin,Female,19,21,35,41.43924156,2
v923,Capomulin,Female,19,21,40,42.1510148,2
v923,Capomulin,Female,19,21,45,40.65812366,2
g316,Capomulin,Female,22,22,0,45.0,0
g316,Capomulin,Female,22,22,5,44.02275246,0
g316,Capomulin,Female,22,22,10,44.50204246,0
g316,Capomulin,Female,22,22,15,45.21674299,0
g316,Capomulin,Female,22,22,20,45.93332219,1
g316,Capomulin,Female,22,22,25,46.80922469,1
g316,Capomulin,Female,22,22,30,44.22147988,2
g316,Capomulin,Female,22,22,35,44.70283296,2
g316,Capomulin,Female,22,22,40,45.56582103,2
g316,Capomulin,Female,22,22,45,40.1592203,2
s710,Capomulin,Female,1,23,0,45.0,0
s710,Capomulin,Female,1,23,5,43.180977399999996,0
s710,Capomulin,Female,1,23,10,43.68802627,0
s710,Capomulin,Female,1,23,15,41.84523536,0
s710,Capomulin,Female,1,23,20,42.62996266,1
s710,Capomulin,Female,1,23,25,43.06040875,1
s710,Capomulin,Female,1,23,30,43.57170323,1
s710,Capomulin,Female,1,23,35,44.16051879,1
s710,Capomulin,Female,1,23,40,40.17192011,1
s710,Capomulin,Female,1,23,45,40.72857787,1
l509,Capomulin,Male,17,21,0,45.0,0
l509,Capomulin,Male,17,21,5,45.85119285,0
l509,Capomulin,Male,17,21,10,46.75907363,0
l509,Capomulin,Male,17,21,15,47.48859931,1
l509,Capomulin,Male,17,21,20,48.07045162,2
l509,Capomulin,Male,17,21,25,44.00625702,2
l509,Capomulin,Male,17,21,30,44.70805473,2
l509,Capomulin,Male,17,21,35,40.207288500000004,2
l509,Capomulin,Male,17,21,40,40.77081259,2
l509,Capomulin,Male,17,21,45,41.48300765,3
r944,Capomulin,Male,12,25,0,45.0,0
r944,Capomulin,Male,12,25,5,45.73714484,0
r944,Capomulin,Male,12,25,10,46.54429202,0
r944,Capomulin,Male,12,25,15,47.37342325,0
r944,Capomulin,Male,12,25,20,43.22567119,1
r944,Capomulin,Male,12,25,25,41.08699106,1
r944,Capomulin,Male,12,25,30,41.68079111,1
r944,Capomulin,Male,12,25,35,40.40176542,2
r944,Capomulin,Male,12,25,40,41.04204489999999,2
r944,Capomulin,Male,12,25,45,41.58152074,2
e662,Ramicane,Male,8,24,0,45.0,0
e662,Ramicane,Male,8,24,5,45.81628252,0
e662,Ramicane,Male,8,24,10,46.40908385,0
e662,Ramicane,Male,8,24,15,43.55377339,0
e662,Ramicane,Male,8,24,20,44.0012958,0
e662,Ramicane,Male,8,24,25,44.66459432,1
e662,Ramicane,Male,8,24,30,45.35023242,1
e662,Ramicane,Male,8,24,35,43.22027636,1
e662,Ramicane,Male,8,24,40,44.00672385,2
e662,Ramicane,Male,8,24,45,40.65900627,2
u196,Ramicane,Male,18,25,0,45.0,0
u196,Ramicane,Male,18,25,5,45.55746444,1
u196,Ramicane,Male,18,25,10,46.42294306,1
u196,Ramicane,Male,18,25,15,47.22717065,1
u196,Ramicane,Male,18,25,20,46.10536303,1
u196,Ramicane,Male,18,25,25,46.70532539999999,1
u196,Ramicane,Male,18,25,30,47.62281636,2
u196,Ramicane,Male,18,25,35,47.00146542,2
u196,Ramicane,Male,18,25,40,43.45368679,2
u196,Ramicane,Male,18,25,45,40.66771292,3
q597,Ramicane,Male,20,25,0,45.0,0
q597,Ramicane,Male,20,25,5,45.76611104,0
q597,Ramicane,Male,20,25,10,42.53798598,0
q597,Ramicane,Male,20,25,15,41.39566036,0
q597,Ramicane,Male,20,25,20,41.9255866,0
q597,Ramicane,Male,20,25,25,42.57570709,1
q597,Ramicane,Male,20,25,30,43.33916123,1
q597,Ramicane,Male,20,25,35,43.80720142,1
q597,Ramicane,Male,20,25,40,44.47182121,2
q597,Ramicane,Male,20,25,45,45.22086888,2
a444,Ramicane,Female,10,25,0,45.0,0
a444,Ramicane,Female,10,25,5,44.00597487,0
a444,Ramicane,Female,10,25,10,44.51255951,0
a444,Ramicane,Female,10,25,15,43.00127957,0
a444,Ramicane,Female,10,25,20,41.71461874,0
a444,Ramicane,Female,10,25,25,42.29139437,0
a444,Ramicane,Female,10,25,30,42.78627835,0
a444,Ramicane,Female,10,25,35,41.73595083,0
a444,Ramicane,Female,10,25,40,42.50492554,0
a444,Ramicane,Female,10,25,45,43.04754260000001,0
i557,Capomulin,Female,1,24,0,45.0,0
i557,Capomulin,Female,1,24,5,42.2616653,0
i557,Capomulin,Female,1,24,10,42.99207658,0
i557,Capomulin,Female,1,24,15,43.529875700000005,0
i557,Capomulin,Female,1,24,20,43.96789516,0
i557,Capomulin,Female,1,24,25,44.59621854,0
i557,Capomulin,Female,1,24,30,45.26138381,0
i557,Capomulin,Female,1,24,35,45.94194901,0
i557,Capomulin,Female,1,24,40,46.82106972,1
i557,Capomulin,Female,1,24,45,47.68596303,1
r921,Ramicane,Female,5,25,0,45.0,0
r921,Ramicane,Female,5,25,5,45.56821083,0
r921,Ramicane,Female,5,25,10,42.71192694,0
r921,Ramicane,Female,5,25,15,43.52726054,0
r921,Ramicane,Female,5,25,20,44.13631588,0
r921,Ramicane,Female,5,25,25,42.65534089,1
r921,Ramicane,Female,5,25,30,43.41938077,1
w678,Ramicane,Female,5,24,0,45.0,0
w678,Ramicane,Female,5,24,5,43.16637266,0
y449,Ramicane,Male,19,24,0,45.0,0
y449,Ramicane,Male,19,24,5,45.87754494,0
y449,Ramicane,Male,19,24,10,46.37809248,0
y449,Ramicane,Male,19,24,15,44.18345092,0
a203,Infubinol,Female,20,23,0,45.0,0
a203,Infubinol,Female,20,23,5,48.5084684,0
a203,Infubinol,Female,20,23,10,51.852437200000004,1
a203,Infubinol,Female,20,23,15,52.7778705,1
a203,Infubinol,Female,20,23,20,55.17333648,1
a203,Infubinol,Female,20,23,25,56.79320832,1
a203,Infubinol,Female,20,23,30,59.52319728,1
a203,Infubinol,Female,20,23,35,61.93165007,2
a203,Infubinol,Female,20,23,40,63.59349002,2
a203,Infubinol,Female,20,23,45,67.97341878,2
a251,Infubinol,Female,21,25,0,45.0,0
a251,Infubinol,Female,21,25,5,46.98212719,0
a251,Infubinol,Female,21,25,10,48.59117901,1
a251,Infubinol,Female,21,25,15,50.53445603,1
a251,Infubinol,Female,21,25,20,54.46259376,1
a251,Infubinol,Female,21,25,25,57.41464570000001,1
a251,Infubinol,Female,21,25,30,59.86124129,1
a251,Infubinol,Female,21,25,35,60.90388455,1
a251,Infubinol,Female,21,25,40,63.09507565,1
a251,Infubinol,Female,21,25,45,65.52574285,1
a262,Placebo,Female,17,29,0,45.0,0
a262,Placebo,Female,17,29,5,48.71756819,1
a262,Placebo,Female,17,29,10,49.59518129,1
a262,Placebo,Female,17,29,15,53.82797367,2
a262,Placebo,Female,17,29,20,57.01331331,2
a262,Placebo,Female,17,29,25,60.13186217,2
a262,Placebo,Female,17,29,30,64.95809178,3
a262,Placebo,Female,17,29,35,66.56196302,4
a262,Placebo,Female,17,29,40,69.59273198,4
a262,Placebo,Female,17,29,45,70.71762058,4
a275,Ceftamin,Female,20,28,0,45.0,0
a275,Ceftamin,Female,20,28,5,46.79525728,0
a275,Ceftamin,Female,20,28,10,47.37134328,0
a275,Ceftamin,Female,20,28,15,49.73440359,0
a275,Ceftamin,Female,20,28,20,50.51343652,1
a275,Ceftamin,Female,20,28,25,53.57606417,1
a275,Ceftamin,Female,20,28,30,54.44471317,2
a275,Ceftamin,Female,20,28,35,56.35353804,2
a275,Ceftamin,Female,20,28,40,60.92153868,3
a275,Ceftamin,Female,20,28,45,62.99935619,3
a366,Stelasyn,Female,16,29,0,45.0,0
a366,Stelasyn,Female,16,29,5,48.95136773,0
a366,Stelasyn,Female,16,29,10,53.52399007,0
a366,Stelasyn,Female,16,29,15,55.26558163,0
a366,Stelasyn,Female,16,29,20,57.28598742,0
a366,Stelasyn,Female,16,29,25,59.01172817,0
a366,Stelasyn,Female,16,29,30,63.44068627,1
a401,Zoniferol,Female,8,25,0,45.0,0
a401,Zoniferol,Female,8,25,5,46.11198591,0
a401,Zoniferol,Female,8,25,10,47.7259374,1
a401,Zoniferol,Female,8,25,15,49.93472542,1
a401,Zoniferol,Female,8,25,20,52.20451136,2
a401,Zoniferol,Female,8,25,25,54.20983551,3
a401,Zoniferol,Female,8,25,30,55.91016159,3
a401,Zoniferol,Female,8,25,35,60.34714467,3
a401,Zoniferol,Female,8,25,40,61.76860538,4
a401,Zoniferol,Female,8,25,45,66.79415599,4
a457,Ketapril,Female,11,30,0,45.0,0
a457,Ketapril,Female,11,30,5,47.462891,0
a457,Ketapril,Female,11,30,10,49.78341894,0
a492,Stelasyn,Male,20,25,0,45.0,0
a492,Stelasyn,Male,20,25,5,46.40914339,0
a492,Stelasyn,Male,20,25,10,48.43219661,0
a492,Stelasyn,Male,20,25,15,51.985262899999995,0
a492,Stelasyn,Male,20,25,20,53.67719253,0
a492,Stelasyn,Male,20,25,25,54.70122868,1
a492,Stelasyn,Male,20,25,30,56.20104104,1
a492,Stelasyn,Male,20,25,35,57.30855379,1
a492,Stelasyn,Male,20,25,40,57.92849897,1
a492,Stelasyn,Male,20,25,45,60.12201052,1
a577,Infubinol,Female,6,25,0,45.0,0
a577,Infubinol,Female,6,25,5,46.197719899999996,1
a577,Infubinol,Female,6,25,10,49.5096389,1
a577,Infubinol,Female,6,25,15,50.91500662,2
a577,Infubinol,Female,6,25,20,52.36518457,2
a577,Infubinol,Female,6,25,25,54.38093154,2
a577,Infubinol,Female,6,25,30,57.03186187,2
a685,Infubinol,Male,8,30,0,45.0,0
a685,Infubinol,Male,8,30,5,46.87048256,0
a685,Infubinol,Male,8,30,10,47.66475264,0
a685,Infubinol,Male,8,30,15,48.95147442,0
